feature_1,feature_2,correlation,abs_correlation
ema_30m_normalized,slope_ema_30m_normalized,-1.0000000000000095,1.0000000000000095
macd_normalized,ema_crossover_5m_60m,1.0,1.0
ema_10m_normalized,slope_ema_10m_normalized,-0.9999999999999997,0.9999999999999997
ema_5m_normalized,slope_ema_5m_normalized,-0.9999999999999969,0.9999999999999969
ema_15m_normalized,slope_ema_15m_normalized,-0.9999999999999949,0.9999999999999949
ema_60m_normalized,slope_ema_60m_normalized,-0.9999999999999853,0.9999999999999853
minute_of_day,hour_of_day,0.9974367005817999,0.9974367005817999
slope2_ema_30m_normalized,slope2_ema_60m_normalized,0.9969594445807991,0.9969594445807991
slope2_ema_10m_normalized,slope2_ema_15m_normalized,0.9960146166015252,0.9960146166015252
slope2_ema_15m_normalized,slope2_ema_30m_normalized,0.9935487017267065,0.9935487017267065
ema_10m_z,ema_15m_z,0.9919313678963991,0.9919313678963991
return_1m,slope2_ema_60m_normalized,0.9914958426504243,0.9914958426504243
ema_5m_z,ema_10m_z,0.9849217408730591,0.9849217408730591
slope2_ema_15m_normalized,slope2_ema_60m_normalized,0.9828930775817747,0.9828930775817747
price_normalized,slope_ema_60m_normalized,0.9826240824333006,0.9826240824333006
price_normalized,ema_60m_normalized,-0.9826240824332981,0.9826240824332981
return_1m,slope2_ema_30m_normalized,0.982215307965468,0.982215307965468
slope2_ema_5m_normalized,slope2_ema_10m_normalized,0.981562372360236,0.981562372360236
ema_10m_normalized,slope_ema_15m_normalized,-0.981484640518186,0.981484640518186
ema_15m_normalized,slope_ema_10m_normalized,-0.9814846405181736,0.9814846405181736
slope_ema_10m_normalized,slope_ema_15m_normalized,0.9814846405181665,0.9814846405181665
ema_10m_normalized,ema_15m_normalized,0.9814846405181609,0.9814846405181609
slope2_ema_10m_normalized,slope2_ema_30m_normalized,0.9802725882257141,0.9802725882257141
ema_60m_normalized,macd_normalized,-0.9717733421607853,0.9717733421607853
ema_60m_normalized,ema_crossover_5m_60m,-0.9717733421607853,0.9717733421607853
slope_ema_60m_normalized,ema_crossover_5m_60m,0.9717733421607654,0.9717733421607654
slope_ema_60m_normalized,macd_normalized,0.9717733421607654,0.9717733421607654
price_normalized,ema_crossover_5m_60m,0.969133600704374,0.969133600704374
price_normalized,macd_normalized,0.969133600704374,0.969133600704374
ema_5m_z,price_z,0.9655029148192621,0.9655029148192621
slope2_ema_10m_normalized,slope2_ema_60m_normalized,0.9651913961738187,0.9651913961738187
ema_15m_z,ema_30m_z,0.9633732777821659,0.9633732777821659
return_1m,slope2_ema_15m_normalized,0.9627082587065352,0.9627082587065352
slope2_ema_5m_normalized,slope2_ema_15m_normalized,0.9619459386439146,0.9619459386439146
macd_signal_normalized,ema_crossover_5m_60m,0.9606917201514402,0.9606917201514402
macd_normalized,macd_signal_normalized,0.9606917201514401,0.9606917201514401
ema_5m_z,ema_15m_z,0.9579804235595009,0.9579804235595009
ema_10m_normalized,slope_ema_5m_normalized,-0.9512403451636898,0.9512403451636898
ema_5m_normalized,ema_10m_normalized,0.9512403451636786,0.9512403451636786
ema_5m_normalized,slope_ema_10m_normalized,-0.9512403451636722,0.9512403451636722
slope_ema_5m_normalized,slope_ema_10m_normalized,0.9512403451636712,0.9512403451636712
slope_ema_30m_normalized,slope_ema_60m_normalized,0.9459059349000986,0.9459059349000986
ema_60m_normalized,slope_ema_30m_normalized,-0.9459059349000933,0.9459059349000933
ema_30m_normalized,slope_ema_60m_normalized,-0.9459059349000835,0.9459059349000835
ema_30m_normalized,ema_60m_normalized,0.9459059349000705,0.9459059349000705
ema_15m_normalized,slope_ema_30m_normalized,-0.9454726130624304,0.9454726130624304
ema_15m_normalized,ema_30m_normalized,0.9454726130624198,0.9454726130624198
slope_ema_15m_normalized,slope_ema_30m_normalized,0.9454726130624094,0.9454726130624094
ema_30m_normalized,slope_ema_15m_normalized,-0.9454726130623922,0.9454726130623922
return_1m,slope2_ema_10m_normalized,0.9424067887508293,0.9424067887508293
ema_30m_z,ema_60m_z,0.9328822857899854,0.9328822857899854
slope2_ema_5m_normalized,slope2_ema_30m_normalized,0.9306442170009187,0.9306442170009187
ema_10m_z,ema_30m_z,0.9288110231784041,0.9288110231784041
price_normalized,momentum_30m,0.9254810465769505,0.9254810465769505
price_normalized,ema_30m_normalized,-0.9241108783297832,0.9241108783297832
price_normalized,slope_ema_30m_normalized,0.9241108783297789,0.9241108783297789
ema_10m_z,price_z,0.9217927250730743,0.9217927250730743
slope2_ema_5m_normalized,slope2_ema_60m_normalized,0.9092403554206314,0.9092403554206314
return_1m,oc_spread,0.9055922792998226,0.9055922792998226
price_normalized,macd_signal_normalized,0.8996218957131793,0.8996218957131793
momentum_60m,macd_signal_normalized,0.8994487327209987,0.8994487327209987
ema_60m_normalized,momentum_30m,-0.8980086856077785,0.8980086856077785
slope_ema_60m_normalized,momentum_30m,0.8980086856077741,0.8980086856077741
ema_30m_normalized,momentum_15m,-0.8971813232954379,0.8971813232954379
slope_ema_30m_normalized,momentum_15m,0.8971813232954331,0.8971813232954331
slope2_ema_60m_normalized,oc_spread,0.8969772010134833,0.8969772010134833
momentum_30m,macd_normalized,0.8962970692660078,0.8962970692660078
momentum_30m,ema_crossover_5m_60m,0.8962970692660078,0.8962970692660078
volatility_30m,volatility_60m,0.8933214617041968,0.8933214617041968
momentum_60m,ema_crossover_5m_60m,0.8887614293376574,0.8887614293376574
momentum_60m,macd_normalized,0.8887614293376574,0.8887614293376574
slope2_ema_30m_normalized,oc_spread,0.8885308368051202,0.8885308368051202
ema_60m_normalized,macd_signal_normalized,-0.8852065960356328,0.8852065960356328
slope_ema_60m_normalized,macd_signal_normalized,0.8852065960356219,0.8852065960356219
ema_15m_z,price_z,0.8840777857280917,0.8840777857280917
return_1m,slope2_ema_5m_normalized,0.8830144004089139,0.8830144004089139
ema_10m_normalized,macd_histogram_normalized,-0.8825724316511538,0.8825724316511538
slope_ema_10m_normalized,macd_histogram_normalized,0.8825724316511528,0.8825724316511528
slope_ema_5m_normalized,slope_ema_15m_normalized,0.8823906309680076,0.8823906309680076
ema_15m_normalized,slope_ema_5m_normalized,-0.8823906309679991,0.8823906309679991
ema_5m_normalized,slope_ema_15m_normalized,-0.8823906309679981,0.8823906309679981
ema_5m_normalized,ema_15m_normalized,0.8823906309679912,0.8823906309679912
ema_10m_normalized,slope_ema_30m_normalized,-0.8733943509881454,0.8733943509881454
slope_ema_10m_normalized,slope_ema_30m_normalized,0.8733943509881282,0.8733943509881282
ema_10m_normalized,ema_30m_normalized,0.8733943509881121,0.8733943509881121
ema_30m_normalized,slope_ema_10m_normalized,-0.8733943509880921,0.8733943509880921
ema_5m_z,ema_30m_z,0.8723668040348751,0.8723668040348751
ema_15m_normalized,macd_histogram_normalized,-0.8715762520071848,0.8715762520071848
